#	1068889202
1	35856881
2	21322233
4	18063878
7	13218140
9	9429962
11	7660228
13	6421971
15	4329973
17	3588867
22	2951867
25	2484941
29	2106902
36	1770117
45	1500872
57	1254276
66	1064653
74	890378
88	752672
116	638394
134	533269
180	452451
213	379964
272	322920
324	273909
388	231921
465	196804
593	167187
697	141982
856	120600
1001	102395
1197	87031
1415	73956
1689	62847
2039	53414
2444	45381
2900	38548
3465	32749
4123	27833
4808	23654
5698	20103
6744	17085
7888	14522
9176	12343
10708	10491
12449	8917
14401	7579
16563	6442
19073	5475
21837	4653
25030	3955
28607	3361
32613	2856
37085	2427
41922	2062
47493	1752
53571	1489
60201	1265
67573	1075
75488	913
84352	776
94009	659
104663	560
116226	475
128772	403
142436	342
157147	290
173084	246
189967	209
208512	177
228607	150
250974	127
275886	107
302935	90
331904	76
363715	64
398214	54
438545	45
479407	38
524469	32
573304	27
639080	22
710930	18
783819	15
884697	12
977548	10
1107178	8
1307255	6
1455913	5
1676763	4
2045053	3
2812773	2
5773121	1
